FIPS,County,cardio_death,total_cancer,bladder,brain,breast,breast_insitu,cervix,colon,esophagus,kidney and renal,leukemia,liver,lung,melanoma,non-hudgkin lymphoma,oral cavity,ovay,pancreas,prostate,stomach,thyroid,uteras,Rate_range,bladder_range,brain_range,breast_range,breast_insitu_range,cervix_range,colon_range,esophagus_range,kidney and renal_range,leukemia_range,liver_range,lung_range,melanoma_range,non-hudgkin lymphoma_range,oral cavity_range,ovay_range,pancreas_range,prostate_range,stomach_range,thyroid_range,uteras_range,Total Population,Pediatric Asthma,Adult Asthma,COPD,Adult Chronic Lung Disease,Lung Cancer
0,US,216.3,449.4,19.4,6.4,128.1,29.4,7.7,33.0,1.8,12.0,11.0,4.8,50.3,18.3,15.7,6.5,10.4,11.6,109.9,8.5,7.2,27.7,0.5999999999999659,0.0999999999999978,0.0999999999999996,0.4000000000000057,0.1999999999999993,0.2000000000000001,0.3000000000000042,0.1,0.1999999999999993,0.0999999999999996,0.0999999999999996,0.2999999999999971,0.1999999999999993,0.200000000000001,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.5,0.0999999999999996,0.0999999999999996,0.3000000000000007,NaN,NaN,NaN,NaN,NaN,NaN
2013,"Aleutians East, Alaska",95.1,142.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401.0,18.0,276.0,141.0,382.0,2.0
2016,"Aleutians West, Alaska",89.8,378.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5680.0,51.0,434.0,209.0,616.0,3.0
2020,"Anchorage, Alaska",177.0,440.1,17.9,7.1,134.8,26.3,8.1,35.5,2.8,14.6,9.7,5.1,47.6,13.9,16.7,5.4,8.9,11.4,114.6,8.3,6.2,30.4,23.399999999999977,5.0,2.999999999999999,17.60000000000001,7.799999999999997,4.5,9.4,2.8000000000000003,6.0,4.9,3.6,10.9,5.800000000000001,6.5,3.6000000000000005,4.7,5.4,17.60000000000001,4.9,4.0,8.399999999999999,NaN,NaN,NaN,NaN,NaN,NaN
2050,"Bethel, Alaska",263.4,397.4,0.0,0.0,51.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,0.0,0.0,0.0,114.8,0.0,0.0,53.49999999999999,0.0,0.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.4,0.0,0.0,0.0,18437.0,487.0,1063.0,497.0,1865.0,9.0
2060,"Bristol Bay, Alaska",NaN,417.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,12.0,57.0,34.0,90.0,0.0
2068,"Denali, Alaska",172.5,451.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
2070,"Dillingham, Alaska",273.5,416.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4833.0,114.0,296.0,149.0,504.0,2.0
2090,"Fairbanks North Star, Alaska",209.0,386.3,16.0,5.7,131.1,26.9,0.0,33.1,0.0,12.0,13.3,0.0,45.9,13.2,16.6,0.0,0.0,10.9,85.6,0.0,0.0,24.7,40.099999999999966,8.999999999999998,4.9,32.69999999999999,14.6,0.0,17.3,0.0,10.7,11.4,0.0,21.099999999999994,11.1,12.5,0.0,0.0,10.6,26.3,0.0,0.0,14.1,NaN,NaN,NaN,NaN,NaN,NaN
2100,"Haines, Alaska",152.4,291.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2614.0,34.0,195.0,125.0,309.0,1.0
